paper_id,doi,title,year,venue,pdf_path,status,queued_at,processed_at,reason,source,resolved_pdf_path,n_tables,n_claims,error,article_type_classifier_version,article_type_confidence,article_type_diagnostics,article_type_family,article_type_margin,article_type_needs_review,article_type_predicted_family,article_type_runner_up,article_type_signals,preprocess_cache_path,preprocess_checked_at,preprocess_cid_density,preprocess_cid_hits,preprocess_error,preprocess_nonempty_pages,preprocess_page_count,preprocess_status,preprocess_text_chars,preprocess_warning_flags,prior_n_claims,prior_n_tables,prior_status,retry_error,retry_status
doi:10.1007/978-3-031-64699-7_9,10.1007/978-3-031-64699-7_9,The Built Environment and the Brain: Review of Emerging Methods to Investigate the Impact of Viewing Architectural Design,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-031-64699-7_9.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:08:27.417779+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-031-64699-7_9.pdf,1,214,,paper_classifier_v2,1.0,,narrative_review,3.2,False,narrative_review,empirical_v2,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature)|review_hits:review of,,,,,,,,,,,,,,,
doi:10.1007/978-3-319-45430-6,10.1007/978-3-319-45430-6,Maritime Psychology,2017,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-319-45430-6.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:08:27.417779+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-3-319-45430-6.pdf,16,1136,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1007/978-3-319-45430-6.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,25,25,ready,55317,,,,,,
doi:10.1007/978-981-99-4638-9_27-1,10.1007/978-981-99-4638-9_27-1,Sound Insulation: Key Concepts and Technologies,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-981-99-4638-9_27-1.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:08:49.866543+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-981-99-4638-9_27-1.pdf,8,351,,paper_classifier_v2,0.8364,,narrative_review,1.4,False,narrative_review,empirical_v2,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature)|review_hits:review of,,,,,,,,,,,,,,,
doi:10.1007/s00226-021-01320-7,10.1007/s00226-021-01320-7,Effect of the degree of wood use on the visual psychological response of wooden indoor spaces,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00226-021-01320-7.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:08:49.866543+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00226-021-01320-7.pdf,23,196,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,110,5,completed_pdf_extracted,timeout_after_75s,error_pdf_timeout
doi:10.1007/s00265-018-2602-7,10.1007/s00265-018-2602-7,The role of habitat configuration in shaping social structure: a gap in studies of animal social complexity,2019,Behavioral Ecology and Sociobiology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00265-018-2602-7.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:09:08.185357+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00265-018-2602-7.pdf,6,78,,paper_classifier_v2,0.2182,downgraded_to_unknown_low_confidence,unknown,0.2,True,empirical_v2,observational_field,default_empirical_from_structural_core,data/production/pdf_preprocess_cache/doi:10.1007/s00265-018-2602-7.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,10,10,ready,42564,,,,,,
doi:10.1007/s00426-018-1015-6,10.1007/s00426-018-1015-6,Putting emotions in routes: the influence of emotionally laden landmarks on spatial memory,2019,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00426-018-1015-6.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:09:08.185357+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s00426-018-1015-6.pdf,7,119,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,,,,,
doi:10.1007/s10936-023-09967-y,10.1007/s10936-023-09967-y,The Role of Sound on Spirituality in Religious Environments and Islamic Architecture by Using EEG,2023,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s10936-023-09967-y.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:09:16.734188+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s10936-023-09967-y.pdf,1,143,,paper_classifier_v2,0.3636,downgraded_to_unknown_low_confidence,unknown,0.0,True,case_study,narrative_review,title_pattern:case\s+study,,,,,,,,,,,,,,,
doi:10.1007/s11229-019-02131-x,10.1007/s11229-019-02131-x,The material reasoning of folding paper,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11229-019-02131-x.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:09:16.734188+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11229-019-02131-x.pdf,4,34,,paper_classifier_v2,0.2182,downgraded_to_unknown_low_confidence,unknown,0.2,True,empirical_v2,observational_field,default_empirical_from_structural_core,,,,,,,,,,,0,0,completed_pdf_no_claims,,
doi:10.1007/s11406-017-9841-0,10.1007/s11406-017-9841-0,Moods in Layers,2017,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11406-017-9841-0.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:10:32.009275+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11406-017-9841-0.pdf,84,1659,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1007/s11406-017-9841-0.json,2026-02-14T10:17:37.772176+00:00,0.00066970,15,,19,25,ready,22398,,,,,,
doi:10.1007/s11676-023-01683-6,10.1007/s11676-023-01683-6,Physiological and psychological responses to tended plant communities with varying color characteristics,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11676-023-01683-6.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:10:32.009275+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11676-023-01683-6.pdf,13,233,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1007/s11676-023-01683-6.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,19,19,ready,80952,,,,,,
doi:10.1007/s13762-023-04869-x,10.1007/s13762-023-04869-x,Ventilation and noise in a cognitive day care centre: environmental quality analysis and design optimization study,2023,International Journal of Environmental Science and Technology,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s13762-023-04869-x.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:10:47.833030+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s13762-023-04869-x.pdf,5,124,,paper_classifier_v2,0.4545,downgraded_to_unknown_low_confidence,unknown,0.5,True,thought_piece,empirical_v2,title_pattern:perspective,data/production/pdf_preprocess_cache/doi:10.1007/s13762-023-04869-x.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,24,24,ready,73450,,,,,,
doi:10.1007/s42413-024-00204-5,10.1007/s42413-024-00204-5,Understanding the Relationship between Urban Public Space and Social Cohesion: A Systematic Review,2024,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s42413-024-00204-5.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:10:47.833030+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s42413-024-00204-5.pdf,7,70,,paper_classifier_v2,0.6545,,narrative_review,0.4,False,narrative_review,systematic_review,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature)|review_hits:systematic review,,,,,,,,,,,,,,,
doi:10.1016/0010-0285(87)90008-9,10.1016/0010-0285(87)90008-9,Hand movements: A window into haptic object recognition,1987,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_0010-0285(87)90008-9.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:11:05.605056+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_0010-0285(87)90008-9.pdf,10,100,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1016/0010-0285(87)90008-9.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,25,25,ready,59451,,,,,,
doi:10.1016/0272-4944(95)90013-6,10.1016/0272-4944(95)90013-6,Effects of indoor lighting on mood and cognition,1995,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_0272-4944(95)90013-6.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:11:05.605056+00:00,table_remake_required,backfill_pdf_completion_queue,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_0272-4944(95)90013-6.pdf,10,54,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1016/0272-4944(95)90013-6.json,2026-02-16T13:53:53.497752+00:00,0.00000000,0,,13,13,ready,47417,,,,,,
doi:10.1016/b978-0-444-53817-8.00007-4,10.1016/b978-0-444-53817-8.00007-4,Chapter 7 - Can light make us bright? Effects of light on cognition and sleep,2011,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_b978-0-444-53817-8.00007-4.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:11:41.393890+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_b978-0-444-53817-8.00007-4.pdf,3,13,,paper_classifier_v2,0.2182,downgraded_to_unknown_low_confidence,unknown,0.2,True,empirical_v2,observational_field,default_empirical_from_structural_core,,,,,,,,,,,,,,,
doi:10.1016/j.actpsy.2021.103285,10.1016/j.actpsy.2021.103285,Understanding joint action: Current theoretical and empirical approaches,2021,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.actpsy.2021.103285.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:11:41.393890+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.actpsy.2021.103285.pdf,19,1126,,paper_classifier_v2,0.7455,,thought_piece,1.8,False,thought_piece,narrative_review,title_pattern:editorial,,,,,,,,,,,,,,,
doi:10.1016/j.buildenv.2018.04.029,10.1016/j.buildenv.2018.04.029,The effects of indoor plants and artificial windows in an underground environment,2018,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2018.04.029.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:12:31.763592+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2018.04.029.pdf,13,453,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,,,,,,,,,,,,,,,
doi:10.1016/j.compfluid.2019.06.031,10.1016/j.compfluid.2019.06.031,Fifth order finite volume WENO in general orthogonally-curvilinear coordinates,2019,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.compfluid.2019.06.031.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:12:31.763592+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.compfluid.2019.06.031.pdf,16,70,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,data/production/pdf_preprocess_cache/doi:10.1016/j.compfluid.2019.06.031.json,2026-02-14T10:17:37.772176+00:00,0.00197264,123,,25,25,ready,62353,,,,,,
doi:10.1016/j.envres.2020.110169,10.1016/j.envres.2020.110169,"Blue space, health and well-being: A narrative overview and synthesis of potential benefits",2020,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.envres.2020.110169.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:12:50.269987+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.envres.2020.110169.pdf,2,12,,paper_classifier_v2,1.0,,narrative_review,2.9,False,narrative_review,systematic_review,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature)|review_hits:narrative review,,,,,,,,,,,,,,,
doi:10.1016/j.erss.2016.02.008,10.1016/j.erss.2016.02.008,Saving energy with light? Experimental studies assessing the impact of colour temperature on thermal comfort,2016,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.erss.2016.02.008.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:12:50.269987+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.erss.2016.02.008.pdf,11,69,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,69,11,completed_pdf_extracted,,
doi:10.1016/j.landurbplan.2012.12.013,10.1016/j.landurbplan.2012.12.013,Associations between park characteristics and perceived restorativeness of small public urban green spaces,2013,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.landurbplan.2012.12.013.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:14:53.528030+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.landurbplan.2012.12.013.pdf,4,194,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,448,4,completed_pdf_extracted,timeout_after_75s,error_pdf_timeout
doi:10.1016/j.neuropsychologia.2014.08.030,10.1016/j.neuropsychologia.2014.08.030,Full body action remapping of peripersonal space: The case of walking,2015,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.neuropsychologia.2014.08.030.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:14:53.528030+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.neuropsychologia.2014.08.030.pdf,90,1035,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,data/production/pdf_preprocess_cache/doi:10.1016/j.neuropsychologia.2014.08.030.json,2026-02-14T18:27:56.725084+00:00,0.00000000,0,,29,30,ready,49854,,346,91,error_pdf_timeout,,
doi:10.1016/j.smrv.2007.07.009,10.1016/j.smrv.2007.07.009,Alerting effects of light,2007,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.smrv.2007.07.009.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:14:53.528030+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.smrv.2007.07.009.pdf,4,1,,paper_classifier_v2,0.0,downgraded_to_unknown_low_confidence,unknown,0.0,True,unknown,theoretical,,,,,,,,,,,,,,,,
doi:10.1016/j.tics.2010.06.008,10.1016/j.tics.2010.06.008,The multifaceted interplay between attention and multisensory integration,2010,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.tics.2010.06.008.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:14:53.528030+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.tics.2010.06.008.pdf,4,62,,paper_classifier_v2,0.4545,downgraded_to_unknown_low_confidence,unknown,0.5,True,narrative_review,empirical_v2,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature),,,,,,,,,,,0,0,completed_pdf_no_claims,,
doi:10.1037/0033-295x.113.2.358,10.1037/0033-295x.113.2.358,The dynamics of perception and action.,2006,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_0033-295x.113.2.358.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:16:00.258260+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_0033-295x.113.2.358.pdf,16,1136,,paper_classifier_v2,0.4545,downgraded_to_unknown_low_confidence,unknown,1.0,True,theoretical,narrative_review,theory_hits:theoretical framework,,,,,,,,,,,,,,,
doi:10.1037/aca0000359,10.1037/aca0000359,Visual preference for abstract curvature and for interior spaces: Beyond undergraduate student samples.,2022,,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_aca0000359.pdf,completed_pdf_extracted,2026-02-16T18:00:14.639045+00:00,2026-02-16T18:16:00.258260+00:00,table_remake_required,run_realtime_table_rule_intake,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_aca0000359.pdf,6,78,,paper_classifier_v2,0.5455,downgraded_to_unknown_low_confidence,unknown,1.5,True,empirical_v2,observational_field,section:results,,,,,,,,,,,78,6,completed_pdf_extracted,,
